,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
2003,Siegwerk Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/439846-siegwerk-malaysia,3.8387,9,14,4,2,2,90%,77%,"No. 24, Jalan Jurunilai U1/20, Hicom-Glenmarie Industrial Park, 40150 Shah Alam, Selangor, Malaysia",siegwerk.com,1 - 50 Employees,"Medical, Contractual & performance bonus, annual increment, EPF 15%, GTL/GPA/CI Insurance",Relaxed Dress Code,English,"Regular hours, Mondays - Fridays"
2004,Neoasia (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/443171-neoasia-m,4.0645,19,5,2,0,5,93%,77%,"No.3, Jalan 51A/225A, Zon Perindustrian PJCT, Seksyen 51A, 46100 Petaling Jaya, Selangor, Malaysia.",neoasia.com.my,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2005,Daikin Research & Development Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/456572-daikin-research-n-development-malaysia,4.0968,12,14,1,4,0,93%,83%,"Bukit Rahman Putra, 47000 Sungai Buloh, Selangor, Malaysia",daikinmalaysia.com,201 - 500 Employees,"Medical, Education support, Loans, Dental, Parking",Uniform,English,"Regular hours, Mondays - Fridays"
2006,Plentisoft Sdn Bhd,https://www.jobstreet.com.my/en/companies/460103-plentisoft,3.9032,20,2,1,2,6,87%,70%,"No.2-41-3, Psn Anggerik Vanilla, Kota Kemuning.",plentisoft.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Vision, Child Allowance, Rental Allowance",Casual Smart + Casual Friday,English,"Regular hours, Mondays - Fridays"
2007,ZIKAY Group Berhad,https://www.jobstreet.com.my/en/companies/442288-zikay-group-berhad,4.2581,14,13,3,0,1,90%,90%,"Bangunan ZIKAY, No 53, Jalan Raja Alang, 50300 Kuala Lumpur",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),Malay/English,Headquarters : Mondays - Fridays ; Site Office : Mondays - Saturdays
2008,StemLife Berhad,https://www.jobstreet.com.my/en/companies/610853-stemlife-berhad,3.3226,10,3,8,7,3,54%,51%,No Info,stemlife.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Vision, Leave benefit",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2009,Planworth Global Factoring Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/444180-planworth-global-factoring,4.2258,19,8,0,0,4,96%,87%,"Suite B-11-2 Megan Avenue 1,  No. 189 Jalan Tun Razak, 50400 Kuala Lumpur",planworthfactor.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Social club activities",Business (e.g. Shirts),"Bahasa Malaysia, English & Chinese","Regular Hours, Monday - Friday"
2010,PCS Vision Sdn Bhd,https://www.jobstreet.com.my/en/companies/445071-pcs-vision,3.8065,15,7,3,0,6,80%,67%,"No 42A, Jalan Meru Indah 19/KU8, Tmn Perindustrian Meru Indah, 42200 Kapar, Klang",pcsvision.com.my,1 - 50 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,Saturdays/Shift required
2011,EXSIM Development Sdn Bhd,https://www.jobstreet.com.my/en/companies/455785-exsim-development,2.6452,5,2,11,3,10,87%,22%,"No. 18, Block 2, Jalil Link, Jalan Jalil 2, Bukit Jalil 57000 KL.",No Info,51 - 200 Employees,"Medical, Dental, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays except some departments may work on Sat/Sun"
2012,Materialise Sdn Bhd,https://www.jobstreet.com.my/en/companies/610562-materialise,4.1935,13,12,5,1,0,80%,80%,"Unit 5-01, Menara OBYU, No. 4, Jalan PJU 8/8A, Damansara Perdana, 47820, Petaling Jaya, Selangor, Malaysia",materialise.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision, Internet allowance, Work from home option",Casual (e.g. T-shirts),English,Flexible
