,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
0,Petroliam Nasional Berhad (PETRONAS),https://www.jobstreet.com.my/en/companies/1319304-petroliam-nasional-berhad-petronas,4.5584,1427,336,109,37,50,94%,88%,"Level 3, Menara Dayabumi Jalan Sultan Hishamuddin 50050 Kuala Lumpur, Malaysia",petronas.com,More than 5000 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1,Malayan Banking Berhad (Maybank),https://www.jobstreet.com.my/en/companies/610110-malayan-banking-berhad-maybank,4.347,1081,437,139,38,83,92%,87%,Menara Maybank Jalan Tun Perak Kuala Lumpur Wilayah Persekutuan Kuala Lumpur Malaysia,maybank.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Vision, Attractive Benefit Package",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2,Keysight Technologies Malaysia Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439382-keysight-technologies-malaysia,4.5613,904,299,64,14,26,94%,94%,"Bayan Lepas Free Industrial Zone, 11900 Penang, Malaysia.",jobs.keysight.com,2001 - 5000 Employees,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Meal Allowance, Mother's Room, Moms-to-be Carpark, Stock Purchase Program",Smart Casual,English,"Regular hours, Mondays - Fridays"
3,United Overseas Bank (Malaysia) Bhd,https://www.jobstreet.com.my/en/companies/609928-united-overseas-bank-malaysia,4.6111,920,276,48,11,23,97%,93%,Menara Uob Jalan Raja Laut Kuala Lumpur Wilayah Persekutuan Kuala Lumpur Malaysia,uob.com.my,2001 - 5000 Employees,"Medical, Loans, Dental, Optical",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4,Kumpulan Wang Simpanan Pekerja (KWSP),https://www.jobstreet.com.my/en/companies/442827-kumpulan-wang-simpanan-pekerja-kwsp,4.4548,783,171,113,26,35,95%,78%,"Bangunan KWSP, Jalan Raja Laut, 50350 Kuala Lumpur",kwsp.gov.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, MyFLEX",Business Casual,Bahasa Malaysia / English,"Regular hours, Mondays - Fridays"
5,Telekom Malaysia Berhad,https://www.jobstreet.com.my/en/companies/443816-telekom-malaysia-berhad,4.4683,686,269,77,13,27,89%,90%,"41th Floor (South Wing) Menara Telekom, Jalan Pantai Bharu, Kuala Lumpur 59200",tm.com.my,More than 5000 Employees,"Medical, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
6,CIMB Group,https://www.jobstreet.com.my/en/companies/610564-cimb-group,4.1536,541,280,151,40,49,87%,82%,"Menara CIMB, No 1 Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470, Kuala Lumpur, Malaysia",cimb.com.my,More than 5000 Employees,"Medical, Loans, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7,UOA Development Bhd,https://www.jobstreet.com.my/en/companies/444890-uoa-development,3.6117,371,223,165,66,151,83%,73%,"UOA Corporate Tower, Bangsar South City, Jalan Kerinchi Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia",uoa.com.my,1001 - 2000 Employees,"Medical, Dental, Sports (e.g. Gym), Parking, Insurance coverage, Examination leave",Business (e.g. Shirts),English,Regular hours
8,Celcom Axiata Berhad,https://www.jobstreet.com.my/en/companies/610011-celcom-axiata-berhad,4.4028,516,233,69,9,28,85%,90%,"Celcom Axiata New Corporate  Office (CANCO), Persiaran Barat, Seksyen 52 Petaling Jaya, 46200 Petaling Jaya, Selangor",celcom.com.my,2001 - 5000 Employees,"Medical, Dental, Sports (e.g. Gym), Vision, Company Mobile Line (CML)",Smart Casual,English,"Regular hours, Mondays - Fridays"
9,Tenaga Nasional Berhad,https://www.jobstreet.com.my/en/companies/440141-tenaga-nasional-berhad,4.6697,590,140,23,7,12,88%,93%,"129 Jalan Bangsar, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",tnb.com.my,More than 5000 Employees,"Dental, Education support, Loans, Medical, Miscellaneous allowance, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
10,Top Glove Corporation Berhad,https://www.jobstreet.com.my/en/companies/442509-top-glove-corporation-berhad,3.8521,321,220,101,33,89,93%,70%,"Persiaran Setia Dagang, Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor, Malaysia",topglove.com.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
11,Public Bank Berhad,https://www.jobstreet.com.my/en/companies/610007-public-bank-berhad,3.9198,300,229,129,39,51,94%,75%,Menara Public Bank Jalan Ampang Wilayah Persekutuan Kuala Lumpur,publicbankgroup.com,More than 5000 Employees,"Medical, Loans, Attractive Remuneration Package and Insurance Coverage",Office attire,English,"Regular hours, Mondays - Fridays"
12,Hong Leong Bank Berhad,https://www.jobstreet.com.my/en/companies/609933-hong-leong-bank-berhad,3.5275,228,196,163,57,101,76%,62%,"Menara Hong Leong, No 6, Jalan Damanlela, Bukit Damansara 50490 Kuala Lumpur, Malaysia",hlb.wd3.myworkdayjobs.com,More than 5000 Employees,"Medical, Loans, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
13,OCBC Bank (Malaysia) Berhad,https://www.jobstreet.com.my/en/companies/440209-ocbc-bank-malaysia-berhad,4.3614,459,154,76,24,23,93%,85%,Menara OCBC 18 Jalan Tun Perak 50050 Kuala L5umpur Malaysia,ocbc.com.my,2001 - 5000 Employees,"Medical, Loans, Dental, Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
14,RHB Banking Group,https://www.jobstreet.com.my/en/companies/610274-rhb-banking-group,3.9564,324,212,106,30,63,86%,80%,Rhb Centre Jalan Tun Razak Kuala Lumpur Selangor Malaysia,No Info,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Performance Incentive Scheme",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
15,Infineon Technologies (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/609905-infineon-technologies-malaysia,4.4008,451,173,59,11,27,93%,78%,Melaka Operations Free Trade Zone Batu Berendam 75350 Melaka,infineon.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Attractive Bonuses",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
16,AEON Credit Service (M) Bhd,https://www.jobstreet.com.my/en/companies/441521-aeon-credit-service-m,3.8688,276,204,127,41,53,84%,75%,"Level 18, UOA Corporate Tower, Avenue 10, The Vertical, Bangsar South City, No. 8, Jalan Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",aeoncredit.com.my,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
17,AirAsia,https://www.jobstreet.com.my/en/companies/610071-airasia,4.3569,425,135,76,19,23,93%,76%,"AirAsia Berhad RedQ, Jalan Pekeliling 5, KLIA2, 64000 Sepang, Selangor D.E",airasia.com,More than 5000 Employees,"Medical, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
18,Sony EMCS (Malaysia) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439487-sony-emcs-malaysia,4.209,306,222,76,15,22,87%,82%,"Free Trade Zone, Prai Industrial Estate, 13600 Penang, Malaysia",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vehicle Loan Subsidy",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
19,Malaysia Airlines Berhad,https://www.jobstreet.com.my/en/companies/440121-malaysia-airlines-berhad,4.2449,331,188,77,12,25,83%,85%,"Level 1, Administration Building, Southern Support Building, KLIA, 64000 Sepang, Selangor, Malaysia",malaysiaairlines.com,More than 5000 Employees,"Miscellaneous allowance, Annual Leave",Business and uniform,English,24 / 7 operation
20,Startek,https://www.jobstreet.com.my/en/companies/610072-startek,3.137,156,127,113,64,146,72%,50%,"Ara Damansara:  Level 1, Symphony House, Jalan PJU 1a/46, 47301 Petaling Jaya, Selangor  Kuala Lumpur:  Menara 238, Jalan Tun Razak, Imbi, 50400 Kuala Lumpur, Federal Territory of Kuala Lumpur  Johor Bahru:  Level 2, Medini 7,Jalan Medini Sentral 5, Bandar Medini Iskandar, Johor, Malaysia",startek.com,2001 - 5000 Employees,"Miscellaneous allowance, Sports (e.g. Gym), Performance Incentive Scheme",Business Casual,English & Bahasa Malaysia (Others based on operations need),Based on business needs
21,Maxis Broadband Sdn Bhd,https://www.jobstreet.com.my/en/companies/628178-maxis-broadband,4.1761,286,178,79,22,20,91%,83%,Menara Maxis Kuala Lumpur City Centre Off Jalan Ampang 50088 Kuala Lumpur,maxis.com.my,More than 5000 Employees,"Medical, Education support, Loans, Dental, Phone Bill Allowance, Mobile Phone Subsidy, Additional EPF (by Employer)",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
22,Plexus Manufacturing Sdn Bhd,https://www.jobstreet.com.my/en/companies/609574-plexus-manufacturing,3.8717,209,198,82,40,40,86%,77%,"Plot 87, Lebuhraya Kampung Jawa, 11900 Bayan Lepas, Penang.",plexus.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Event Center, Employee Privilege Program, Meal Subsidy-RM4.50/day, Etc.",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
23,99 Speed Mart Sdn Bhd,https://www.jobstreet.com.my/en/companies/467671-99-speed-mart,3.8471,215,157,115,22,47,87%,71%,"LOT PT 2811, Jalan Angsa, Taman Berkeley, 41150 Klang, Selangor.",99speedmart.com.my,More than 5000 Employees,"Miscellaneous allowance, Monthly Training",Formal (e.g. Shirts + Ties),"Bahasa Melayu, English, Mandarin","Regular hours, Monday - Friday, Saturday or Sunday Alternate Off."
24,AEON Co. (M) Bhd.,https://www.jobstreet.com.my/en/companies/610504-aeon-co-m,3.9874,212,200,94,22,27,85%,82%,"Jalan Jejaka, Taman Maluri, 55100, Federal Territory of Kuala Lumpur, Malaysia",aeonretail.com.my,More than 5000 Employees,"Medical, Education support, Dental, Staff Rebate, Insurance, Long Service Awards etc.",HQ - Business Attire; OPERATION - Uniforms Provided,English,HQ - Mon to Fri; OPERATION - Shift
25,Berjaya Starbucks Coffee Company Sdn Bhd,https://www.jobstreet.com.my/en/companies/443563-berjaya-starbucks-coffee-company,4.3264,313,132,44,17,21,85%,86%,"Lot 10-4, Level 10, West, Berjaya Times Square, No. 1 Jalan Imbi, 55100 Kuala Lumpur, Malaysia",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Staff Purchase/ Discount, Employee Meal",Formal (e.g. Shirts + Ties),English,"Office: Mondays - Fridays ; Retail Outlets: 6 days per week, shift required"
26,IBM Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/609914-ibm-malaysia,4.0673,217,183,78,22,20,87%,83%,"Persiaran Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",No Info,2001 - 5000 Employees,"Medical, Flexible Benefit Plan",Casual & Formal depends on occasion,English,"Regular hours, Mondays - Fridays"
27,City University Malaysia,https://www.jobstreet.com.my/en/companies/441227-city-university-malaysia,4.0874,285,117,42,15,56,89%,81%,"Menara City U, No. 8, Jalan 51A/223, 46100 Petaling Jaya, Selangor, Malaysia",city.edu.my,201 - 500 Employees,"Medical, Education support, Loans, Parking",Business (e.g. Shirts),English,Mondays to Fridays
28,Bank Simpanan Nasional,https://www.jobstreet.com.my/en/companies/440201-bank-simpanan-nasional,4.1734,247,147,67,15,21,89%,81%,"117 Jalan Ampang, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",mybsn.com.my,More than 5000 Employees,"Medical, Loans, Dental, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
29,First Solar Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/452063-first-solar-malaysia,4.5493,331,125,30,5,6,97%,94%,"Kulim Hi-tech Park, 09000 Kedah, Malaysia",No Info,2001 - 5000 Employees,"Medical, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Meal subsidy, Mother's room",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
30,KOPERASI TABUNG HAJI BERHAD,https://www.jobstreet.com.my/en/companies/442162-koperasi-tabung-haji-berhad,4.604,366,87,27,5,10,91%,90%,201 Jalan Tun Razak Kuala Lumpur Wilayah Persekutuan Kuala Lumpur Malaysia,koperasith.com.my,1 - 50 Employees,"Medical, Loans",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
31,Dell Global Business Center Sdn Bhd,https://www.jobstreet.com.my/en/companies/609565-dell-global-business-center,4.4312,297,138,42,9,8,88%,91%,"Plot 27, Bayan Lepas Industrial Zone Phase IV, Bayan Lepas 11900 Penang",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
32,VADS Berhad,https://www.jobstreet.com.my/en/companies/609570-vads-berhad,3.9746,206,143,65,21,37,78%,78%,"TM Damansara, N0. 1, Jalan Damansara, 60000 Kuala Lumpur.",vads.com,501 - 1000 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
33,Western Digital,https://www.jobstreet.com.my/en/companies/464620-western-digital,4.286,266,131,43,8,24,93%,83%,"Plot 301A, Persiaran Cassia Selatan 1, Taman Perindustrian Batu Kawan, MK. 13 Batu Kawan, Seberang Perai Selatan, 14100 Penang.",westerndigital.com,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
34,Citigroup Transaction Services (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/439457-citigroup-transaction-services-m,3.9128,196,136,71,35,32,89%,78%,"Jalan Sultan Ahmad Shah, Georgetown, 10050 George Town, Penang, Malaysia",No Info,1001 - 2000 Employees,Medical,Business (e.g. Shirts),English,"Standard, Staggered or Shift Hours"
35,HSBC Bank Malaysia Berhad,https://www.jobstreet.com.my/en/companies/610832-hsbc-bank-malaysia-berhad,4.2066,242,127,45,20,21,91%,80%,"Menara IQ, Lingkaran TRX,  55188 Tun Razak Exchange,  Kuala Lumpur, Malaysia",hsbc.com.my,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
36,Intel Technology Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/611259-intel-technology,4.5,297,104,29,10,8,95%,91%,"Bayan Lepas Free Industrial Zone Phase 3, 11900 Bayan Lepas, Penang, Malaysia",intel.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, meal subsidy, daily free fruits, mother's room, moms-to-be carpark",Smart casual,English,"Regular hours, Mondays - Fridays"
37,Digi Telecommunications Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/610039-digi-telecommunications,4.3103,255,114,32,14,20,90%,87%,"10, Jalan Delima 1/1, Subang Hi-tech Industrial Park, 40000 Shah Alam, Selangor, Malaysia",digi.com.my,1001 - 2000 Employees,"Medical, Sports (e.g. Gym), Parking, 6-months maternity leave","Casual (jeans, t-shirts, sneakers, etc)",English & Bahasa Malaysia,Flexible working hours & you can work from anywhere!
38,TDCX,https://www.jobstreet.com.my/en/companies/442026-tdcx,3.7775,177,112,61,20,57,84%,69%,"Level 7, Menara TH 1 Sentral, Jalan Stesen Sentral 5, KL Sentral, 50470 Kuala Lumpur, Malaysia",tdcx.com,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Vision, Incentive, Bonus and Commission Plan, Life-long Learning and Skills Development","Monday – Thursday: Smart Casual, Friday: Sport Attire","English, Bahasa Malaysia, Mandarin, Language for native markets",Support: 9:00am – 6:00pm (Monday – Friday) Operations: Shift based on markets
39,Malaysia Airports Holdings Berhad,https://www.jobstreet.com.my/en/companies/610539-malaysia-airports-holdings-berhad,4.5283,293,90,24,6,11,91%,90%,Malaysia Airports Holdings Berhad Sepang Selangor Malaysia,No Info,More than 5000 Employees,No Info,Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
40,UEM Sunrise Berhad,https://www.jobstreet.com.my/en/companies/610804-uem-sunrise-berhad,4.4095,255,113,33,7,12,90%,90%,Solaris Dutamas Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,uemsunrise.com,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Parking, Vision, ESOS and sports",Smart Casual,English,"Regular hours, Mondays - Fridays"
41,Flex,https://www.jobstreet.com.my/en/companies/447032-flex,4.0266,169,134,80,15,16,90%,84%,"lot plo 2, Kawasan Perindustrian Senai Iii & Iv, 81400 Senai, Johor, Malaysia",No Info,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Attractive Compensation Package, Paid Time Off",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
42,Lotuss Stores (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/441472-lotuss-stores-malaysia,3.9853,177,112,80,17,23,86%,75%,"Head Office, Level 3, Kepong Village Mall,  No. 3, Jalan 7A/62A, Bandar Manjalara 52200 Kuala Lumpur, Malaysia",No Info,More than 5000 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours for Head Office, Weekend and Shift required for Operations"
43,Scicom (MSC) Berhad,https://www.jobstreet.com.my/en/companies/440765-scicom-msc-berhad,3.9756,193,102,59,24,32,82%,76%,22 Jalan P Ramlee Kuala Lumpur 50250 Federal Territory of Kuala Lumpur Malaysia,scicom-intl.com,2001 - 5000 Employees,Medical,Business (e.g. Shirts),English,As per the position advertised
44,OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/441544-osram-opto-semiconductors-malaysia,4.1275,211,110,44,14,29,91%,80%,Bayan Lepas Free Industrial Zone 11900 Bayan Lepas Penang Malaysia,ams-osram.com,More than 5000 Employees,"Medical, Education support, Dental, Annual Bonus, Flexible Working Hours",Casual & smart,English,"Regular hours, Mondays - Fridays"
45,Hewlett Packard Enterprise,https://www.jobstreet.com.my/en/companies/443513-hewlett-packard-enterprise,4.1593,180,123,55,11,14,87%,88%,"Jalan Gelenggang, Bukit Damansara, 50490 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",hpe.com,More than 5000 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
46,Sudong Sdn Bhd,https://www.jobstreet.com.my/en/companies/441549-sudong,4.065,189,89,44,20,27,89%,80%,"Jalan Tun Sri Lanang, 75100 Melaka, Malaysia",info.singtel.com,501 - 1000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
47,Sime Darby Plantation Berhad,https://www.jobstreet.com.my/en/companies/812748-sime-darby-plantation-berhad,4.1789,201,95,35,14,24,92%,83%,"Sime Darby Plantation Berhad, Plantation Tower, No 2, Jalan PJU 1A/7, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",simedarbyplantation.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision",Business casual – no ties,English,"Regular hours, Mondays - Fridays"
48,Jabil Circuit Sdn Bhd,https://www.jobstreet.com.my/en/companies/628916-jabil-circuit,4.0495,156,128,44,14,22,90%,85%,"Phase 4, 56, Hilir Sungai Kluang 1, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang.",jabil.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision, Insurance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
49,Genting Malaysia Berhad,https://www.jobstreet.com.my/en/companies/468953-genting-malaysia-berhad,4.1047,160,124,50,15,14,84%,78%,Genting Highlands Pahang Malaysia,No Info,More than 5000 Employees,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Free accommodation",Business (Shirt) / Uniform,English,Operation - Shift ; Back Office - Regular Hour
50,Bank Kerjasama Rakyat Malaysia Berhad,https://www.jobstreet.com.my/en/companies/613126-bank-kerjasama-rakyat-malaysia-berhad,4.4116,235,80,26,3,18,90%,86%,"Menara Kembar Bank Rakyat,  No 33, Jalan Travers, 50470 Kuala Lumpur",bankrakyat.com.my,More than 5000 Employees,"Staff Financing, Flexi , Allowance",Office Attire,English,"Regular hours, Mondays - Fridays"
51,SEEK Asia (JobStreet),https://www.jobstreet.com.my/en/companies/464053-seek-asia-jobstreet,4.0516,166,96,49,18,21,81%,70%,"Level 20, Menara AIA Cap Square No. 10, Jalan Munshi Abdullah 50100 Kuala Lumpur",seekasia.com,501 - 1000 Employees,"Medical, Education support, Dental, Flexi  (Data Plan, Optical, Book Purchase), Birthday Leave",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
52,HSBC Electronic Data Processing (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/611973-hsbc-electronic-data-processing-malaysia,4.065,151,133,36,10,24,86%,85%,Hsbc Cyberjaya 63000 Jalan Teknokrat 3 Cyberjaya Selangor Malaysia,No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Optical, Life Insurance, Miscellaneous Allowance, Transportation",Business (e.g. Shirts),English,Shifting schedule
53,Bank Islam Malaysia Berhad,https://www.jobstreet.com.my/en/companies/445698-bank-islam-malaysia-berhad,4.3428,211,92,28,4,18,90%,90%,"Menara Bank Islam No 22, Jalan Perak 50450 Kuala Lumpur",No Info,2001 - 5000 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
54,7-Eleven Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/441244-7-eleven-malaysia,3.9176,145,99,68,14,26,77%,71%,"Podium Block, Plaza Berjaya, 12 Jalan Imbi, Pudu, 55100, Federal Territory of Kuala Lumpur, Malaysia",7eleven.com.my,More than 5000 Employees,"Medical, Parking, Staff Discount Card, Mobile  & Petrol Card",Casual (e.g. T-shirts),English & Bahasa Malaysia,Staggered work hours
55,Jinko Solar Technology Sdn Bhd,https://www.jobstreet.com.my/en/companies/471727-jinko-solar-technology,3.4186,115,82,52,22,73,88%,60%,2481 Tingkat Perusahaan 4a Perai Penang Malaysia,No Info,More than 5000 Employees,"Medical, Dental, Vision, Transport Allowance, Phone Allowance, Meal Subsidy",Uniform or T-Shirts,Mandarin & English,"Regular hours, Mondays - Fridays"
56,Pos Malaysia Berhad,https://www.jobstreet.com.my/en/companies/442154-pos-malaysia-berhad,4.1633,165,100,58,9,11,78%,79%,"Pos Malaysia Headquarters, Dayabumi Complex, 50670 Kuala Lumpur.",pos.com.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Loans, Dental",Casual (Shirts + Slacks/Jeans),English,"Regular hours, Mondays - Fridays"
57,Popular Book Co. (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/440409-popular-book-co-m,3.7625,106,122,66,20,27,77%,68%,"Popular Book Co. (M) Sdn. Bhd. No.8, Jalan 7/118B Desa Tun Razak 56000 Kuala Lumpur",popular.com.my,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
58,Alliance Bank Malaysia Berhad,https://www.jobstreet.com.my/en/companies/610093-alliance-bank-malaysia-berhad,3.7385,128,86,51,18,42,82%,68%,"Menara Multi Purpose, Jalan Munshi Abdullah, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",alliancebank.com.my,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Loans, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
59,Parkson Corporation Sdn Bhd,https://www.jobstreet.com.my/en/companies/610209-parkson-corporation,4.1066,130,116,58,7,8,83%,82%,Klang Parade Jalan Meru Kawasan 17 Klang Selangor Malaysia,parkson.com.my,2001 - 5000 Employees,"Medical, TBA",TBA,English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
60,UNIQLO (MALAYSIA) SDN BHD.,https://www.jobstreet.com.my/en/companies/455973-uniqlo-malaysia,4.3344,176,98,26,7,10,98%,86%,"Lot 3.05, Level 3, 1, First Avenue, Bandar Utama, Petaling Jaya, 47800 Selangor",uniqlo.com,1001 - 2000 Employees,"Medical, Dental",Smart Casual,English,Saturdays/Shift required
61,Mydin Mohamed Holdings Berhad,https://www.jobstreet.com.my/en/companies/441687-mydin-mohamed-holdings-berhad,3.6122,90,92,81,17,32,69%,67%,"MYDIN Mohamed Holdings Bhd, Lot 675 & 676, Persiaran Subang Permai, USJ 1, 47500 Subang Jaya, Selangor, Malaysia",mydin.com.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Parking",Formal (e.g. Shirts + Ties),Bahasa Malaysia / English,Varies according to job title/position
62,DKSH Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/442406-dksh-malaysia,3.8818,120,94,55,30,14,85%,73%,"B-11-01, The Ascent, Paradigm, No 1, Jalan SS7/26A, Kelana Jaya, 47301 Petaling Jaya, Selangor.",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
63,DFI Retail Group,https://www.jobstreet.com.my/en/companies/610727-dfi-retail-group,4.1234,140,103,40,13,12,89%,86%,"Lot 2, Persiaran Sukan, Seksyen 13, Shah Alam, Selangor, Malaysia.",No Info,More than 5000 Employees,"Medical, Education support, Parking, Annual Leave",Business (e.g. Shirts),English and Bahasa Malaysia,"HQ (5 days a week) or Operations (Shift, Weekend & Public Holiday)"
64,Affin Bank Berhad,https://www.jobstreet.com.my/en/companies/610538-affin-bank-berhad,4.013,136,87,57,10,18,87%,83%,"Menara Affin, 80 Jalan Raja Chulan, 50200 Kuala Lumpur, Malaysia",affinbank.com.my,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Knowledge Suite",Business (e.g. Shirts),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
65,Malindo Airways Sdn Bhd,https://www.jobstreet.com.my/en/companies/464157-malindo-airways,4.198,159,88,29,11,16,84%,78%,"C-5-05, Block C, Oasis Ara Damansara, Jalan PJU 1A/7A, 47301 Petaling Jaya, Selangor",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
66,Indah Water Konsortium Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/609976-indah-water-konsortium,4.2399,153,89,36,8,10,82%,79%,"44, Jalan Dungun, Damansara Heights",No Info,2001 - 5000 Employees,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
